Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Temperatura de rocio	Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	Viento medio (m/s)	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo
Azul_Aero	876410	2013	3	26	15,5	8,9	1019,5	1001,9	12,6	2	3,1	24,5	6,5	1	0	0	0
Azul_Aero	876410	2013	3	27	16,6	8	1020,8	1003,2	15	1,9	3,6	24,5	5,5	0	0	0	0
Azul_Aero	876410	2013	3	28	17,3	8,9	1020,2	1002,7	15	3	4,6	25,8	7,5	0	0	0	0
Azul_Aero	876410	2013	3	29	18,3	9,4	1018,5	1001	14,3	3	5,1	26,5	6,1	0	0	0	0
Azul_Aero	876410	2013	3	30	20,1	13,1	1015	997,8	14,2	3,1	4,1	26,7	9,6	0	0	0	0
Azul_Aero	876410	2013	3	31	17,1	14,8	1017	999,6	12,1	2,5	5,1	27,6	11,9	0	1	0	0
Azul_Aero	876410	2013	4	1	16,5	15,9	1018,9	1001,4	8,7	6,5	9,8	20,9	14,3	0	1	0	0
Azul_Aero	876410	2013	4	2	17,9	16,7	1016,4	999	9	4,7	7,7	20,6	14,5	0	1	0	0
Azul_Aero	876410	2013	4	3	17,9	16,8	1015,6	998,3	9	3,9	6,7	22,4	16	0	1	0	0
Azul_Aero	876410	2013	4	4	15,3	14,5	1010	992,6	11,7	1,5	3,1	21,5	10,5	1	1	0	0
Azul_Aero	876410	2013	4	5	16,5	12,9	1004,1	986,7	9,5	2,3	3,6	23,9	9,9	1	1	0	0
Azul_Aero	876410	2013	4	6	14,4	6,6	1008,2	990,9	17,1	4,9	6,7	24,6	10,6	0	1	0	0
Azul_Aero	876410	2013	4	7	11,5	3,3	1016,3	998,5	15,6	3,6	6,7	21,4	1,5	0	0	0	0
Azul_Aero	876410	2013	4	8	14,4	7,1	1018,1	1000,4	15,9	2,3	4,1	23,3	4,8	0	0	0	0
Azul_Aero	876410	2013	4	9	14,2	7,5	1019	1001,4	14,8	2,6	4,1	24	5,5	0	0	0	0
Azul_Aero	876410	2013	4	10	15,2	10,2	1017	999,5	13	6	8,2	23,6	9,6	0	0	0	0
Azul_Aero	876410	2013	4	11	16,1	13	1011	993,6	14,3	2,8	7,2	20	12	0	1	0	0
Azul_Aero	876410	2013	4	12	13	6,5	1013,2	995,7	15	4,5	7,2	21,5	9	0	0	0	0
Azul_Aero	876410	2013	4	13	9,5	0,1	1017,2	999,3	16,9	4,5	7,7	17,5	1,9	0	0	0	0
Azul_Aero	876410	2013	4	14	13,9	4,9	1012	994,4	20	4,4	7,2	22	5,4	0	0	0	0
Azul_Aero	876410	2013	4	15	15,4	7,7	1015,1	997,6	15,6	2,9	5,1	23,3	7,9	0	0	0	0
Azul_Aero	876410	2013	4	16	10,2	7,2	1020	1002,2	12,4	2	3,1	22,6	2,4	0	0	0	0
Azul_Aero	876410	2013	4	17	12,1	8,8	1018,8	1001	7,6	2,6	6,2	23,1	1,5	1	0	0	0
Azul_Aero	876410	2013	4	18	19,1	13,9	1015,5	998,2	13,4	4	5,7	26,6	6,8	1	0	0	0
Azul_Aero	876410	2013	4	19	19	12,8	1016,5	999,2	14,2	2,9	5,1	27,5	7	0	0	0	0
Azul_Aero	876410	2013	4	20	16,5	9,5	1019,5	1002	13	2,1	4,6	27,5	6	0	0	0	0
Azul_Aero	876410	2013	4	21	17,4	10,8	1020,2	1002,7	12,2	3,2	5,1	27	6,8	0	0	0	0
Azul_Aero	876410	2013	4	22	16,2	11,6	1020,8	1003,3	11,3	3	4,1	26,3	5,7	1	0	0	0
Azul_Aero	876410	2013	4	23	14,4	12,8	1021,6	1004	7,6	2,7	4,1	25,7	8,6	1	0	0	0
Azul_Aero	876410	2013	4	24	17	14,7	1019,9	1002,4	4,5	3,3	5,1	23,3	11,4	1	0	0	0
Azul_Aero	876410	2013	4	25	18,2	13,6	1016,2	998,8	6,8	2,9	6,2	25,9	9,1	1	0	0	0
Azul_Aero	876410	2013	4	26	16,3	13,3	1015,7	998,3	7,9	2,6	5,7	26,3	9,1	1	0	0	0
Azul_Aero	876410	2013	4	27	17,1	15,4	1016,1	998,7	8,7	6,3	7,2	26,1	11,9	0	1	0	0
Azul_Aero	876410	2013	4	28	17,4	15,1	1009,9	992,6	10,6	3,1	6,7	20,6	16	0	1	0	0
Azul_Aero	876410	2013	4	29	15,8	12,7	1011,8	994,4	10,9	2,6	3,6	21,5	11,9	0	0	0	0
Azul_Aero	876410	2013	4	30	13,6	10,3	1016,1	998,5	6,8	1,3	3,1	22,9	5	1	0	0	0
Azul_Aero	876410	2013	5	1	14,8	13,5	1015	997,5	10	4	5,7	23	7,5	1	1	0	0
Azul_Aero	876410	2013	5	2	15,2	14,1	1014,2	996,6	8,2	2,9	4,6	17,7	13,9	1	1	0	0
Azul_Aero	876410	2013	5	3	12,6	11,7	1014,6	997	11,7	3,9	6,7	18,3	10,9	0	1	0	0
Azul_Aero	876410	2013	5	4	11,9	9	1015,3	997,6	9,5	3,2	7,2	18,5	4,6	1	0	0	0
Azul_Aero	876410	2013	5	5	11,9	7,2	1019,4	1001,7	13	2,4	5,1	19,9	5,5	0	0	0	0
Azul_Aero	876410	2013	5	6	12,6	8,3	1013,5	995,8	15	4	7,2	19,8	6,6	0	0	0	0
Azul_Aero	876410	2013	5	7	8,5	2,6	1020,4	1002,5	15	3,9	9,3	19,8	0	0	0	0	0
Azul_Aero	876410	2013	5	8	12,8	4,9	1010,6	992,9	15	6,4	9,3	22,2	2,8	0	0	0	0
Azul_Aero	876410	2013	5	9	14,2	9,8	1013,3	995,7	14,3	2,3	4,6	22,5	4,2	0	0	0	0
Azul_Aero	876410	2013	5	10	16,1	12,9	1010,9	993,5	10,9	3,2	4,1	23,4	7,2	0	0	0	0
Azul_Aero	876410	2013	5	11	14,4	8,1	1014,2	996,7	15,6	2,9	6,2	20,9	6,4	0	0	0	0
Azul_Aero	876410	2013	5	12	8,6	3,8	1016,8	998,8	13,2	1,8	4,6	19,2	-0,5	0	0	0	0
Azul_Aero	876410	2013	5	13	11	3,9	1015,6	997,8	13,7	2	4,1	19,7	1	0	0	0	0
Azul_Aero	876410	2013	5	14	10,2	3,6	1014,2	996,3	13,7	2,2	4,1	18,8	4	0	1	0	0
Azul_Aero	876410	2013	5	15	4,6	-3,7	1017,3	999,2	17,5	4,1	8,2	16,5	-0,3	0	0	0	0
Azul_Aero	876410	2013	5	16	5,6	-1,5	1022,2	1004	15	4,1	7,7	11,2	-0,8	0	0	0	0
Azul_Aero	876410	2013	5	17	6,7	-0,1	1024,7	1006,4	15	2,8	4,6	15,2	-1,4	0	0	0	0
Azul_Aero	876410	2013	5	18	6,4	3,2	1024,9	1006,7	11,4	1,9	4,1	15,4	-1,2	0	1	0	0
Azul_Aero	876410	2013	5	19	8,1	7,5	1024,9	1006,7	7,6	1,8	4,1	11,5	0,3	0	1	0	0
Azul_Aero	876410	2013	5	20	9	7,6	1022,8	1004,7	6,6	0,7	1	10,6	7,5	1	0	0	0
Azul_Aero	876410	2013	5	21	5,9	4	1019,7	1001,5	5,8	1,4	3,1	16	-1,5	1	0	0	0
Azul_Aero	876410	2013	5	22	8,2	4,9	1021	1002,9	8,4	1,1	1,5	17,7	-0,4	1	0	0	0
Azul_Aero	876410	2013	5	23	7,5	5,6	1019,9	1001,9	7,2	2,7	6,7	17,9	0,5	1	0	0	0
Azul_Aero	876410	2013	5	24	10,9	7,2	1019,1	1001,2	12,6	4,3	7,7	16,5	2,5	0	0	0	0
Azul_Aero	876410	2013	5	25	6,1	4,4	1020,5	1002,3	10,5	2,3	5,7	16,4	-0,4	1	0	0	0
Azul_Aero	876410	2013	5	26	12,1	9,2	1013,1	995,3	10,3	5,7	9,8	19,3	0,6	1	0	0	0
Azul_Aero	876410	2013	5	27	8,5	6,4	1011	993,2	6,4	1,9	6,2	19,3	1	1	0	0	0
Azul_Aero	876410	2013	5	28	11,4	10,3	1002,1	984,6	6	3,9	9,3	16,5	2,9	1	1	0	0
Azul_Aero	876410	2013	5	29	11	5,9	1004,9	987,3	13,7	3,1	5,1	14,9	5,5	0	0	0	0
Azul_Aero	876410	2013	5	30	8,6	2,4	1008,4	990,6	15	4,9	8,2	15,8	2	0	0	0	0
Azul_Aero	876410	2013	5	31	10,7	6,1	1005	987,4	13,7	4,4	6,7	16,1	3,8	0	0	0	0
Azul_Aero	876410	2013	6	1	10,8	4,6	1008,7	991	14,6	4,9	8,7	18,5	1	0	1	0	0
Azul_Aero	876410	2013	6	2	9,2	2,7	1013,8	996	15	3,4	4,6	19,3	3,1	0	0	0	0
Azul_Aero	876410	2013	6	3	10,5	5,6	1016,1	998,2	17,5	3,9	6,7	17,4	3,6	0	1	0	0
Azul_Aero	876410	2013	6	4	12,8	5,6	1011,6	994	15,6	3,9	6,2	19	5,7	0	0	0	0
Azul_Aero	876410	2013	6	5	11,2	4,6	1009,3	991,7	17,5	4,1	6,7	19	5,5	0	0	0	0
Azul_Aero	876410	2013	6	6	8,3	4,5	1018,1	1000,2	14,3	3,6	6,2	18,9	1,5	0	0	0	0
Azul_Aero	876410	2013	6	7	8,6	3,4	1016,8	998,8	15	5,7	8,7	17	2,8	0	0	0	0
Azul_Aero	876410	2013	6	8	4,1	-0,9	1026,1	1007,7	13,2	1,4	4,6	17,5	-5	0	0	0	0
Azul_Aero	876410	2013	6	9	7,9	4,3	1019,4	1001,4	11,6	2,7	6,7	15,1	-1,6	0	0	0	0
Azul_Aero	876410	2013	6	10	10,1	6,4	1016,6	998,7	7,1	3,5	6,2	18	1,1	1	0	0	0
Azul_Aero	876410	2013	6	11	9,2	7,7	1017,8	1000	9,3	3,3	5,7	19,1	2,5	1	0	0	0
Azul_Aero	876410	2013	6	12	15,2	13,7	1015,6	998	7,9	4,4	6,2	18,4	6,2	1	0	0	0
Azul_Aero	876410	2013	6	13	12,1	8,8	1013,8	996,1	8	2,5	4,6	22	4	0	0	0	0
Azul_Aero	876410	2013	6	14	8,4	2,9	1023,6	1005,6	15	3,9	10,8	22,2	2,5	0	0	0	0
Azul_Aero	876410	2013	6	15	6,3	1,5	1020,4	1002,2	14,3	4,7	7,2	11,9	0,1	0	0	0	0
Azul_Aero	876410	2013	6	16	9,6	6,4	1014,9	997	11,9	3,3	6,2	12,4	6,1	1	1	0	0
Azul_Aero	876410	2013	6	17	2,3	-2,6	1020,1	1001,8	15	2,2	5,7	12,4	-6,6	0	0	0	0
Azul_Aero	876410	2013	6	18	6,1	0	1015,5	997,3	14	4,1	8,2	12,8	-3,9	1	0	0	0
Azul_Aero	876410	2013	6	19	2,2	-5,9	1025	1006,5	17,9	3	5,1	13,3	-5,7	0	0	0	0
Azul_Aero	876410	2013	6	20	3,6	-5,1	1024,4	1006	15,6	4,2	7,2	11,3	-3	0	0	0	0
Azul_Aero	876410	2013	6	21	4,1	-3,5	1013,4	995,2	15	6,1	10,3	13	-1,8	0	0	0	0
Azul_Aero	876410	2013	6	22	7,9	0,9	1011,8	993,9	15	3,4	5,7	13,6	0,2	0	0	0	0
Azul_Aero	876410	2013	6	23	2,4	-3,3	1023	1004,6	15	2,5	6,2	12,2	-6,6	0	0	0	0
Azul_Aero	876410	2013	6	24	3,3	-1,8	1024,7	1006,2	13,5	0,7	2,6	12,9	-4,7	0	0	0	0
Azul_Aero	876410	2013	6	25	2,4	-0,1	1019,9	1001,5	11,9	1,1	3,1	13,2	-4,9	1	0	0	0
Azul_Aero	876410	2013	6	26	3,9	0,7	1015,8	997,5	6,4	1,9	4,1	15,1	-4,5	1	0	0	0
Azul_Aero	876410	2013	6	27	9,3	4,8	1014	996,1	15	2,7	6,2	16	-3	0	0	0	0
Azul_Aero	876410	2013	6	28	9,8	6,9	1010	992,3	12,6	3,3	8,2	16,6	4,8	0	0	0	0
Azul_Aero	876410	2013	6	29	8,7	0,8	1013,4	995,5	13	3	6,2	13,6	2,6	0	0	0	0
Azul_Aero	876410	2013	6	30	5,2	-3,5	1020,3	1002,1	17,5	2,2	4,6	14	-1,6	0	0	0	0
Azul_Aero	876410	2013	7	1	5,6	-1,3	1022,6	1004,4	15,6	2,4	5,7	13,5	-3,4	0	0	0	0
Azul_Aero	876410	2013	7	2	10,8	4,3	1014,5	996,6	15	4,9	9,8	18	-1,1	0	0	0	0
Azul_Aero	876410	2013	7	3	9,8	4,7	1010,9	993,2	13,7	3,7	7,2	18,4	0	0	0	0	0
Azul_Aero	876410	2013	7	4	12,5	10,7	1015,2	997,5	10,6	5,1	8,2	17,2	3,2	0	1	0	0
Azul_Aero	876410	2013	7	5	10,3	9,9	1016,1	998,3	5	4,7	6,2	12,9	8,1	1	1	0	0
Azul_Aero	876410	2013	7	6	10,8	9,3	1014	996,2	10,6	4,8	9,8	12,5	8,1	0	1	0	0
Azul_Aero	876410	2013	7	7	5,9	3,7	1025,5	1007,3	13,2	3,3	6,2	12,5	1,5	1	0	0	0
Azul_Aero	876410	2013	7	8	2,8	-1,1	1031,7	1013,2	12,6	2,2	5,1	11,2	-4	1	0	0	0
Azul_Aero	876410	2013	7	9	5,6	3,7	1024	1005,8	14,2	4,5	6,7	12	-4	0	1	0	0
Azul_Aero	876410	2013	7	10	7,4	6,9	1018,6	1000,5	4	2,2	4,6	9	5,6	1	1	0	0
Azul_Aero	876410	2013	7	11	10,2	9,4	1016,6	998,7	6,4	2,2	4,1	13,3	6,5	1	1	0	0
Azul_Aero	876410	2013	7	12	7	5,6	1020,5	1002,5	10	2,1	4,1	13,9	0,2	1	0	0	0
Azul_Aero	876410	2013	7	13	8,7	7,7	1015,9	998	5,1	4,9	6,7	15,5	1,2	1	0	0	0
Azul_Aero	876410	2013	7	14	8,2	1,6	1017,3	999,4	15	2,9	4,1	14,9	3	0	0	0	0
Azul_Aero	876410	2013	7	15	4,9	-0,4	1019,9	1001,7	17,5	3,4	6,7	14,2	-3,3	0	0	0	0
Azul_Aero	876410	2013	7	16	10,4	3,2	1012,6	994,7	15,6	4,1	5,7	19	1,7	0	0	0	0
Azul_Aero	876410	2013	7	17	9,8	4,6	1008,1	990,4	15	2,2	3,6	19,6	1	0	0	0	0
Azul_Aero	876410	2013	7	18	5,8	2,9	1016,9	998,9	14,5	6,3	10,3	19	0,8	0	1	0	0
Azul_Aero	876410	2013	7	19	1,9	-2,7	1023,8	1005,3	15,6	3,6	7,7	9	-4,3	0	0	0	0
Azul_Aero	876410	2013	7	20	2,2	-1,9	1009,8	991,5	15,6	4,3	5,1	7,8	-2,1	0	0	0	0
Azul_Aero	876410	2013	7	21	2,6	-0,4	1012,5	994,3	15,4	4,6	7,2	9,2	-1,3	0	1	0	0
Azul_Aero	876410	2013	7	22	4,2	1,6	1019,4	1001,1	15	5,4	9,3	8,8	1,4	0	1	0	0
Azul_Aero	876410	2013	7	23	2,6	-2,8	1022,8	1004,4	16,9	4,2	8,2	8	-4,2	0	0	0	0
Azul_Aero	876410	2013	7	24	5	0,6	1025,1	1006,7	13,7	2,4	4,1	10,3	-3,1	1	0	0	0
Azul_Aero	876410	2013	7	25	6,4	-1,1	1023,3	1005	14,3	6	9,3	13,9	-2,2	0	0	0	0
Azul_Aero	876410	2013	7	26	7,4	1	1023,3	1005,2	15	5	6,7	14,6	1	0	0	0	0
Azul_Aero	876410	2013	7	27	9,3	3,1	1022,1	1004,1	13,2	2,7	6,7	16,4	-1	1	0	0	0
Azul_Aero	876410	2013	7	28	6,3	2,9	1022,8	1004,6	12,6	1,3	2,6	17,4	-1	1	0	0	0
Azul_Aero	876410	2013	7	29	8,1	4,4	1023	1004,9	4,5	1,6	3,1	18,3	-1,2	1	0	0	0
Azul_Aero	876410	2013	7	30	8,5	6,1	1020,8	1002,8	8	3,2	7,2	19,1	0,9	1	0	0	0
Azul_Aero	876410	2013	7	31	11,7	10,2	1013,6	995,9	10,5	3,6	7,2	15,4	4,2	1	1	0	0
Azul_Aero	876410	2013	8	1	8,8	5,9	1017,4	999,5	16,4	3,8	5,7	10,9	5,9	0	0	0	0
Azul_Aero	876410	2013	8	2	4	1,5	1021,2	1002,9	9,8	1,2	2,6	11,5	-3,4	1	0	0	0
Azul_Aero	876410	2013	8	3	7,4	4,1	1018,5	1000,4	15	2,4	6,2	12,1	0,4	0	0	0	0
Azul_Aero	876410	2013	8	4	9,4	4,3	1016,9	999	11,3	3,6	5,1	17,4	1	1	0	0	0
Azul_Aero	876410	2013	8	5	12,4	2,9	1010,3	992,7	15	8	12,3	17,7	2,5	0	0	0	0
Azul_Aero	876410	2013	8	6	7,2	-1	1016,8	998,8	13,5	2,7	6,2	17,5	-3,3	0	0	0	0
Azul_Aero	876410	2013	8	7	10,7	4,6	1005,5	987,8	15	4,9	6,2	16,7	-0,1	0	0	0	0
