Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	2	18	15	8	7,1	8	1018,7	8	1001,1	8	15	8	2,1	8	4,1	23,4	5,5	0,5	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	2	19	17,3	8	9,4	8	1020,6	8	1003,1	8	15,6	8	2,6	8	4,6	24,3	9,8	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	20	17,6	8	8,1	8	1019,2	8	1001,7	8	15,6	8	3,6	8	7,2	26,3	6,6	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	21	18,2	8	10	8	1016,7	8	999,4	8	17,5	8	2,6	8	4,6	26,8	11	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	22	17,9	8	11,1	8	1018,2	8	1000,9	8	12,9	8	4,1	8	6,7	27	7,9	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	2	24	19,6	8	13,1	8	1006,9	8	989,8	8	16,3	8	3,7	8	9,3	27,5	12,6	6,1	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	2	25	16,3	8	9,7	8	1012,8	8	995,4	8	15,6	8	4,9	8	8,2	28,2	11	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	26	13,8	8	7,7	8	1016,3	8	998,6	8	15	8	3	8	4,1	21	6	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	27	14,3	8	5,9	8	1016,8	8	999,1	8	13,5	8	1,1	8	2,1	25,2	2	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	2	28	17,2	8	9,7	8	1016,1	8	998,7	8	14,3	8	4,4	8	8,2	25,7	8,6	0	0	0	0	0	0	c_som_3_5
