Nombre Estacion	Provincia	Fecha	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	random
Monte_Caseros_Aero	Corrientes	10310	23,8	21	1007,9	1001,6	17,5	3,6	4,6	29,6	19,3	0	1	0	0	0,501818963
Paso_De_Los_Libres_Aero	Corrientes	10206	24,2	15,8	1013,2	1005,1	11,3	6,6	10,3	31	18	0	0	0	0	0,934926088
Cordoba_Aero	Cordoba	10326	17,2	8,6	1020,5	963	11,3	2,5	3,6	26	9	0	0	0	0	0,804845936
Esquel_Aero	Chubut	10210	18,4	13,4	1007,5	919	24	3,2	6,7	22,2	14,7	0	1	0	0	0,894140199
Pilar	Cordoba	10817	8,2	-4,7	1027,1	986,1	13,4	3,5	7,2	18,8	-1,8	0	0	0	0	0,451861041
San_Julian_Aero	Santa_Cruz	10905	6	5,1	1000,6	993	18,8	4,7	11,3	7,2	2,2	1	1	0	0	0,362977406
Mar_Del_Plata_Aero	Buenos_Aires	10128	21,3	15,8	1011,1	1008,7	9,5	2,4	5,7	31,6	13	0	0	0	0	0,857568967
San_Rafael_Aero	Mendoza	11106	25,1	12,1	1002,3	920,8	17,9	3,8	5,1	33,8	15,3	0	0	0	0	0,327514663
General_Pico_Aero	La_Pampa	10818	11,9	2,3	1016,8	999,4	13,2	7,7	9,8	22	3,8	0	0	0	0	0,410910432
Marcos_Juarez_Aero	Cordoba	10424	20,4	15,8	1018,2	1004,8	16,4	4,7	6,7	28,2	12,7	0	0	0	0	0,42169724
Formosa_Aero	Formosa	10919	13,9	4,8	1021,3	1014,2	18,7	3,3	7,7	21,3	6	0	0	0	0	0,501341486
Pilar	Cordoba	10902	17,4	5,5	1012,3	973,2	8,9	2,9	4,6	28,7	11,4	0	0	0	0	0,308573326
Santa_Rosa_Aero	La_Pampa	10217	19,4	8,9	1009,7	987,7	22,5	5,6	8,2	35	14,9	0	1	0	0	0,452976667
Tartagal_Aero	Salta	10216	28,2	20,1	1000,9	952,3	10	0,6	4,1	36,6	21,2	0	0	0	0	0,242923189
San_Martin_Mza	Mendoza	10503	15,2	12	1012,6	937,9	15	2,3	4,1	19,5	10,9	0	0	0	0	0,145159138
Ezeiza_Aero	Buenos_Aires	11030	18,9	11,4	1015,4	1013	10	5	7,2	26	11,8	0	0	0	0	0,878050653
Sauce_Viejo_Aero	Santa_Fe	10115	26,9	17	1010,4	1008,3	12,1	1,9	3,1	32,2	21	0	0	0	0	0,010441251
Santiago_Del_Estero_Aero	Santiago_del_Estero	10601	13,4	6,7	1010,8	987,3	14,6	0,4	1,5	25,3	5,5	0	0	0	0	0,633832098
Reconquista_Aero	Santa_Fe	10125	23,8	18,3	1010,6	1003,6	10	5,9	8,7	28,2	19,3	0	1	0	0	0,814786006
Tucuman_Aero_II	Tucuman	10521	11,4	7,8	1015,6	963	9,2	2,4	4,6	19,6	6,7	0	0	0	0	0,934713559
La_Rioja_Aero	La_Rioja	10802	16,4	-0,5	1016,6	966,8	16,6	1,7	3,1	21,6	5,2	0	0	0	0	0,212276705
La_Plata	Buenos_Aires	10915	8,9	7,7	1019,9	1017,1	5,1	8,3	9,8	11,2	5,8	0	1	0	0	0,55636094
Azul_Aero	Buenos_Aires	10511	14,4	8,1	1014,2	996,7	15,6	2,9	6,2	20,9	6,4	0	0	0	0	0,60902619
Cordoba_Aero	Cordoba	10719	5	-2,8	1025,3	965,2	10,9	2,9	6,7	10	3	0	0	0	0	0,188864594
Laboulaye_Aero	Cordoba	10526	11,7	7,2	1012,5	996,1	8	1	4,1	22,5	3,5	1	0	0	0	0,310168009
Paso_De_Los_Libres_Aero	Corrientes	10209	26,8	20,2	1009,8	1001,8	11,3	6	10,3	33,3	21,7	0	0	0	0	0,738356085
Gualeguaychu_Aero	Entre_Rios	10718	11,6	6,2	1015,5	1012,8	15	5	8,2	24,3	8,2	0	0	0	0	0,164744711
Rio_Cuarto_Aero	Cordoba	10209	26,7	15,5	1007,1	960,1	11,7	6,5	9,8	34	17,8	0	0	0	0	0,958419619
Rosario_Aero	Santa_Fe	11018	20,7	14,2	1012,7	1009,8	10,1	1,8	5,1	28,4	13	0	0	0	0	0,065666847
Azul_Aero	Buenos_Aires	11002	11,8	8,9	1019,6	1001,8	8,5	2,9	4,1	16	6,8	1	0	0	0	0,224451682
Monte_Caseros_Aero	Corrientes	10902	21,4	16,4	1008,3	1002	17,5	2,7	4,6	30,8	15,6	0	0	0	0	0,188485191
Rio_Gallegos_Aero	Santa_Cruz	10205	17,4	6,6	999,6	996,9	17,5	5,4	15,4	26	10,8	0	1	0	0	0,373473913
Ezeiza_Aero	Buenos_Aires	10801	11	8,9	1015,7	1013,3	10	4,5	6,7	15,8	9	0	1	0	0	0,841256279
San_Juan_Aero_II	San_Juan	11020	29,6	0,2	995,9	931,6	11,1	8,2	15,4	38,5	20,5	0	0	0	0	0,683402052
La_Rioja_Aero	La_Rioja	10318	19,6	12,6	1016,5	967,3	18,8	2,3	4,1	21,6	16,2	0	0	0	0	0,220589327
